wikidataID	lang	label	description	alias	P31_is_a	P17_state	P131_provinz	P131_county	P131_barony	P131_civilparish	P131_electoraldevision	P625_coord	P402_osm	P5097_logainm	P1545_geohive	ciic	count	P973_link_townland_ie	comment
Q85395556	en	Camp Ogham Site	Camp Townland, Co. Kerry	An Com	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60554748	Q59725329	52.215,-9.910277777777779	6155365	24660		176,177	2	https://www.townlands.ie/kerry/corkaguiny/kilgobban/knockglass/camp/	
Q85395557	en	Coumeenoole North / Dunmore Head	Coumeenoole North Townland, Co. Kerry	Com Dhíneol Thuaidh	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60554192	Q59725022	52.1119444,-10.458333333333332	4250372	22572		178	1	https://www.townlands.ie/kerry/corkaguiny/dunquin/dunquin/coumeenoole-north/	
Q85395597	en	Dingle Ogham Site	Dingle Townland, Co. Kerry	An Daingean	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553996	Q59725019	52.14,-10.270000000000001	6199927	22553		179	1	https://www.townlands.ie/kerry/corkaguiny/dingle/dingle/dingle/	descision for this townland as the school house where the stone was found probably belonged to the town not the modern outskirts.
Q85395559	en	Emlagh East / Trabeg	Emlagh East Townland, Co. Kerry	Imleach Dhún Séann	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553996	Q59725025	52.1330556,-10.228055555555555	6197805	22621		180	1	https://www.townlands.ie/kerry/corkaguiny/dingle/glin/emlagh-east/	descision for this townland, as it is at the shores of river Trabeg.
Q85395521	en	Emlagh West	Emlagh West Townland, Co. Kerry	Imleach an Daingin	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553996	Q59725025	52.1352778,-10.270555555555557	6199818	22554		181	1	https://www.townlands.ie/kerry/corkaguiny/dingle/dingle/emlagh-west/	
Q85395522	en	Glanmore			Q2221906	Q27	Q131438	Q184469	Q59419929			52.1869444,-10.159444444444444				182	1		location unknown in  http://webgis.archaeology.ie/historicenvironment/. coordinate by https://www.townlands.ie/kerry/corkaguiny/
Q85395523	en	Glanfahan	Glanfahan Townland, Co. Kerry	Gleann Fán	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553391	Q59725042	52.1033333,-10.437222222222223	4252866	22787		183	1	https://www.townlands.ie/kerry/corkaguiny/ballinvoher/ventry/glanfahan/	
Q85395524	en	Gortnagullanagh	Gortnagullanagh Townland, Co. Kerry	Gort na gCuileannach 	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60555914	Q59725038	52.1408333,-10.126666666666667	6206523	22764		184	1	https://www.townlands.ie/kerry/corkaguiny/minard/minard/gortnagullanagh/	descision for this townland on basis of historicenvironments. Probably a typo by MacAlister
Q85395526	en	Inishvickillane	Inishvickillane Townland, Co. Kerry	Inis Mhic Aoibhleáin	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60554192	Q59725022	52.0444444,-10.607777777777777	4283721	22582		185	1	https://www.townlands.ie/kerry/corkaguiny/dunquin/dunquin/inishvickillane/	
Q85395599	en	Kilfountan	Kilfountan Townland, Co. Kerry	Cill Fhiontain	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60554705	Q59725025	52.1533333,-10.300555555555556	6194997			186	1	https://www.townlands.ie/kerry/corkaguiny/kildrum/glin/kilfountan/	descision for this townland, as probably a typo by MacAlister
Q85395528	en	Kilmalkedar	Kilmalkedar Townland, Co. Kerry	Cill Maoilchéadair	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60555240	Q59725028	52.1883333,-10.333055555555555	6203209	22685		187	1	https://www.townlands.ie/kerry/corkaguiny/kilmalkedar/kilmalkedar/kilmalkedar/	
Q85395530	en	Kinard East	Kinard East Townland, Co. Kerry	Cinn Aird	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60555545	Q59725031	52.1205556,-10.194444444444445	6197500	22724		188,189	2	https://www.townlands.ie/kerry/corkaguiny/kinard/kinard/kinard-east/	
Q85395562	en	Lugnagappul	Lugnagappul Townland, Co. Kerry	Log na gCapall	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60555914	Q59725038	52.1358333,-10.124722222222223	6206135	22767		190,191	2	https://www.townlands.ie/kerry/corkaguiny/minard/minard/lugnagappul/	
Q85395622	en	Martramane	Martramane Townland, Co. Kerry	Martromán	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60555123	Q59725014	52.2519444,-10.023333333333333	6176107	22517		192	1	https://www.townlands.ie/kerry/corkaguiny/killiney/castlegregory/martramane/	
Q85395564	en	Maumanorig	Maumanorig Townland, Co. Kerry	Mám an Óraigh	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60557224	Q59725042	52.1447222,-10.359444444444444	6201235			193	1	https://www.townlands.ie/kerry/corkaguiny/ventry/ventry/maumanorig/	
Q85395627	en	Rathduff	Rathduff Townland, Co. Kerry	An Ráth Dubh	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553391	Q59725007	52.1677778,-10.024444444444445	6185929	22452		194,194A	2	https://www.townlands.ie/kerry/corkaguiny/ballinvoher/ballinvoher/rathduff/	
Q85395567	en	Rathmalode / Loughor	Rathmalode Townland, Co. Kerry	Ráth Málóid	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553391	Q59725026	52.1725,-9.990555555555554	6185916	22668		195,196	2	https://www.townlands.ie/kerry/corkaguiny/ballinvoher/inch/rathmalode/	
Q85395570	en	Curraghmore East	Curraghmore East Townland, Co. Kerry		Q2151232	Q27	Q131438	Q184469	Q59419928	Q60553956	Q59725124	52.2086111,-9.621666666666668	6343126			204	1	https://www.townlands.ie/kerry/trughanacmy/currans/kilnanare/curraghmore-east/	descision for this townland, as http://webgis.archaeology.ie/historicenvironment/ says MacAlister made an error, when he wrote west, it is east.
Q85395535	en	Derrygarriv	Derrygarriv Townland, Co. Kerry	Doire Garbh	Q2151232	Q27	Q131438	Q184469	Q59419928	Q60555583	Q59725103	51.9744444,-9.665000000000001	6263324			205	1	https://www.townlands.ie/kerry/dunkerron-north/knockane/dunloe/derrygarriv/	
Q85395537	en	Kilcoolaght East / Kilhullicaha	Kilcoolaght East Townland, Co. Kerry	Cill Chuallachta Thoir	Q2151232	Q27	Q131438	Q184469	Q59419928	Q60555140	Q59725116	52.0719444,-9.747222222222222	6275122			206,207,208,209,210,211,212,213	8	https://www.townlands.ie/kerry/dunkerron-north/killorglin/kilgobnet/kilcoolaght-east/	descision for this townland, as http://webgis.archaeology.ie/historicenvironment/ has it filed under Coolaght East
Q85395538	en	Kilgobnet	Kilgobnet Townland, Co. Kerry	Cill Ghobnait	Q2151232	Q27	Q131438	Q184469	Q59419928	Q60555583	Q59725116	52.0680556,-9.71888888888889	6271430			214	1	https://www.townlands.ie/kerry/dunkerron-north/knockane/kilgobnet/kilgobnet/	
Q85395539	en	Whitefield	Whitefield Townland, Co. Kerry	Banchluain	Q2151232	Q27	Q131438	Q184469	Q59419928	Q60555583	Q59725116	52.0805556,-9.703055555555554	6227080			215,216,217,218,218A	5	https://www.townlands.ie/kerry/dunkerron-north/knockane/kilgobnet/whitefield/	
Q85395602	en	Derrygarrane South	Derrygarrane South Townland, Co. Kerry	Doire Ghearrain Theas	Q2151232	Q27	Q131438	Q184469	Q59419928	Q60557060	Q59725070	51.91,-9.746666666666666	6267983			219	1	https://www.townlands.ie/kerry/dunkerron-south/templenoe/loughbrin/derrygarrane-south/	
Q85395573	en	Darrynane Beg	Darrynane Beg Townland, Co. Kerry	Doire Fhíonáin Beag	Q2151232	Q27	Q131438	Q184469	Q59419926	Q60554672	Q59724981	51.7730556,-10.122222222222224	6257097			220	1	https://www.townlands.ie/kerry/dunkerron-south/kilcrohane/darrynane/darrynane-beg/	
Q85395540	en	Dromlusk	Dromlusk Townland, Co. Kerry	Drom Loische	Q2151232	Q27	Q131438	Q184469	Q59419926	Q60554672	Q59725078	51.8811111,-9.786666666666667	6264722			221	1	https://www.townlands.ie/kerry/dunkerron-south/kilcrohane/tahilla/dromlusk/	
Q85395541	en	Mangerton			Q2221906	Q27	Q131438	Q184469	Q59419926			51.8586111,-9.875				222	1		There is only a Mangerton in the Barony of Glanarought. Location unknown in http://webgis.archaeology.ie/historicenvironment/. coordinate by https://www.townlands.ie/kerry/dunkerron-south/
Q85395605	en	Parknasilla			Q2221906	Q27	Q131438	Q184469	Q59419926			51.8586111,-9.875				223	1		provenance unknown to MacAlister, coordinate by https://www.townlands.ie/kerry/dunkerron-south/
Q85395543	en	Dromatouk	Dromatouk Townland, Co. Kerry	Drom an tSeabhaic	Q2151232	Q27	Q131438	Q184469	Q59419930	Q60554530	Q59725049	51.8852778,-9.525833333333335	6333226	22863		224	1	https://www.townlands.ie/kerry/glanarought/kenmare/cappagh/dromatouk/	
Q85395607	en	Gortmaccaree			Q2221906	Q27	Q131438	Q184469	Q59419930			51.8475,-9.551666666666668				225	1		location unknown to MacAlister, coordinate from https://www.townlands.ie/kerry/glanarought/
Q85395624	en	Inchinanagh	Inchinanagh Townland, Co. Kerry		Q2151232	Q27	Q131438	Q184469	Q59419930	Q60554737	Q59725058	51.8394444,-9.389166666666666	5725191			226	1	https://www.townlands.ie/kerry/glanarought/kilgarvan/glanlee/inchinanagh/	
Q85395546	en	Lomanagh	Lomanagh Townland, Co. Kerry	An Lománach	Q2151232	Q27	Q131438	Q184469	Q59419930	Q60554737	Q59725061	51.8833333,-9.413611111111111	6344027	22988		227	1	https://www.townlands.ie/kerry/glanarought/kilgarvan/glanlough/lomanagh/	
Q85395548	en	Cockhill / Kilnaughtin	Cockhill Townland, Co. Kerry		Q2151232	Q27	Q131438	Q184469	Q59419932	Q60555339	Q59725210	52.5666667,-9.421388888888888	6266577			228	1	https://www.townlands.ie/kerry/iraghticonnor/kilnaughtin/tarbert/cockhill/	
Q85395576	en	Canburrin	Canburrin Townland, Co. Kerry 	Ceann Boirinn	Q2151232	Q27	Q131438	Q184469	Q59419925	Q60553651	Q59724969	51.9211111,-10.166666666666666	6239630	22094		229	1	https://www.townlands.ie/kerry/iveragh/caher/caher/canburrin/	
Q85395549	en	Cloghanecarhan Townland	Cloghanecarhan Townland, Co. Kerry	Clochán Cárthainn	Q2151232	Q27	Q131438	Q184469	Q59419925	Q60553651	Q59724985	51.8941667,-10.176944444444445	6242965	22255		230	1	https://www.townlands.ie/kerry/iveragh/caher/emlagh/cloghanecarhan/	
Q85395579	en	Cool East / Killeenadreena	Cool East Townland, Co. Kerry	An Chúil Thoir	Q2151232	Q27	Q131438	Q184469	Q59419925	Q60557222	Q59725005	51.9122222,-10.365555555555556	6058809	22424		231,232	2	https://www.townlands.ie/kerry/iveragh/valencia/valencia/cool-east/	
Q85395550	en	Dromkeare	Dromkeare Townland, Co. Kerry	Drom Caor	Q2151232	Q27	Q131438	Q184469	Q59419925	Q60554071	Q59724992	51.8480556,-10.11361111111111	6258135	22344		233	1	https://www.townlands.ie/kerry/iveragh/dromod/loughcurrane/dromkeare/	
Q85395582	en	Kilkeehagh	Kilkeehagh Townland, Co. Kerry	Cill Chaoitheach	Q2151232	Q27	Q131438	Q184469	Q59419925	Q60554343	Q59724987	52.0311111,-10.029166666666667	6192274	22295		234	1	https://www.townlands.ie/kerry/iveragh/glanbehy/glanbehy/kilkeehagh/	
Q85395618	en	Killogrone	Killogrone Townland, Co. Kerry	Cill Ó gCróin	Q2151232	Q27	Q131438	Q184469	Q59419925	Q60553651	Q59724969	51.9133333,-10.175833333333333	6239736	22106		235	1	https://www.townlands.ie/kerry/iveragh/caher/caher/killogrone/	
Q85395551	en	Killurly	Killurly Townland, Co. Kerry	Cill Urlaí	Q2151232	Q27	Q131438	Q184469	Q59419925	Q60556300	Q59724962	51.8433333,-10.301944444444445	6231758	22072		236,237	2	https://www.townlands.ie/kerry/iveragh/prior/ballinskelligs/killurly/	
Q85395585	en	Letter Ogham Site	Letter Townland, Co. Kerry	Leitir	Q2151232	Q27	Q131438	Q184469	Q59419925	Q60553651	Q59724969	51.9233333,-10.220833333333333	4726137	22109		238	1	https://www.townlands.ie/kerry/iveragh/caher/caher/letter/	
